time,Z,N,E
212.0,-175314.53070515796,43718.426875601835,280478.4298902345
212.2,53553.36871644364,445239.3692381615,203613.50249724207
212.4,167794.79350597263,827008.3622458089,152232.23996168192
212.6,193365.46308283778,1180334.9284925228,124461.09324155106
212.8,308855.72366572364,1353219.3421994636,57004.91127105416
213.0,474543.8513690037,1405808.2066993075,-1488.74790411637
213.2,591300.7149527445,1333453.840612234,-101206.05209109826
213.4,603572.5659536408,1063172.2349146504,-201466.2572036788
213.6,619122.6872953305,632220.5685741254,-327375.5441999723
213.8,436087.7210328488,333042.98031558725,-402240.62672671786
214.0,264056.5833061545,158963.52434543482,-471217.04661791393
214.2,74228.7163186157,11439.920703781758,-480686.071209756
214.4,-181781.71478777778,-102147.19204516117,-474010.7207354305
214.6,-545807.4730725163,-112174.86339965543,-418081.1669537155
214.8,-906205.0036184081,-99354.16832432934,-389436.86944713036
215.0,-1076071.3167620497,-177989.97522565967,-297655.0042628214
215.2,-1027485.4500613413,-50176.73817280388,-205950.00002809765
215.4,-851081.8470045333,-73017.5348968077,-128112.93445614021
215.6,-787200.1958841556,-49765.897772003016,-71972.87526543142
215.8,-659171.3281960434,-22098.1197585508,-3532.4783426526933
216.0,-463024.4885901795,-89029.46052754387,34609.5503039929
216.2,-89512.03409599875,-179967.9954041877,54394.175196721124
216.4,261089.39464503815,-223068.44408437956,84760.95174634806
216.6,642056.2487653722,-225087.22686626174,149213.59873161354
216.8,858518.3572139547,-125881.6582972628,278413.0155721093
217.0,1041594.3281729071,-60163.73344404465,398739.1362529769
217.2,1037436.2146898975,50158.36339329002,534303.6812406792
217.4,1007437.1396097821,242290.11988033677,647961.096611798
217.6,921663.1799188737,384384.5825522708,751917.5026753218
217.8,868932.5110667733,433354.0008741795,787897.2739838663
218.0,636520.9568927872,423624.82080920466,793597.1232064763
218.2,317749.1170338632,254625.27221811545,801213.01791307
218.4,-19015.72024940475,82303.53816893119,652832.9986358614
218.6,-229272.3448955619,-37101.90731542843,424581.65723036765
218.8,-409601.48549873004,-234716.36723551416,181918.760029215
219.0,-600714.9849357001,-381420.37533083156,-41396.521798442795
219.2,-621528.543903589,-457044.64797323366,-323429.73134695046
219.4,-707786.3482732114,-578305.1711341296,-555562.0994165133
219.6,-706294.2215108853,-725488.5089478084,-732325.88339235
219.8,-491435.3017521354,-857894.450122175,-832197.8528242788
220.0,-438738.50102167233,-833841.3890770469,-803239.371156053
220.2,-407961.36846552725,-756858.8602403883,-776589.365079813
220.4,-283919.6396296664,-743972.4456208645,-786519.712771014
220.6,-60119.901328819804,-815591.5977383201,-791182.4502449706
220.8,65826.56854100639,-828487.8558387689,-799446.2528769032
221.0,248519.1371286241,-809550.3453762672,-723066.4064498915
221.2,432069.9081610638,-841377.1353092688,-658874.154694412
221.4,704561.3996048269,-853129.6595921213,-556665.7103389694
221.6,962960.2544021005,-799482.4977410424,-472005.6730651949
221.8,1085377.014305076,-660408.4031455257,-401521.65606982575
222.0,1138222.9363250043,-482802.56600333797,-231146.54951662413
222.2,1042344.1038620033,-115549.53872086912,-48596.45183530267
222.4,753998.1406289042,193805.7815452682,143021.13060049101
222.6,573086.0108877231,395891.38203098107,300785.2557976349
222.8,459196.75019380933,523499.95654785505,457519.6493000157
223.0,320271.99268005235,587822.5971086328,565353.3248373405
223.2,211808.60834737957,514004.7704975301,693400.4060075912
223.4,-18463.107911833107,402359.34284375294,811144.5781372002
223.6,-243755.38001878152,258711.59591629307,843015.751801061
223.8,-434743.59925574326,187068.19499018232,796769.9629056444
224.0,-627829.9086471351,191706.11002789112,705334.9917819352
224.2,-808033.0487604393,345058.41022851504,544768.4382656509
224.4,-837374.7626427881,424316.88009462925,370386.96596077096
224.6,-911236.461688726,477068.713556881,184069.83496114862
224.8,-987370.6819451104,484556.30385909474,57958.42563753868
225.0,-965908.0026962291,451612.7000409329,-47195.185273963834
225.2,-865153.6812505255,464701.18879728636,-98032.07647333735
225.4,-861715.0703553859,472024.60756407655,-68890.1738168462
225.6,-797114.6741047626,459222.2198661708,-76289.01428178299
225.8,-678783.0294274451,475617.6463610991,-104510.09894773943
226.0,-534885.7247395179,495522.946709247,-135333.65598673804
226.2,-322652.0246969079,480382.80846255855,-205672.2001307503
226.4,-44141.36867779109,458782.2561740908,-288142.7448476952
226.6,365889.95189585746,431048.00580270146,-323359.0410789708
226.8,635770.16146931,297403.7320965422,-264217.72965650196
227.0,693428.9746641167,158313.49831097876,-185510.6653115697
227.2,794551.4772412614,71398.50567331731,-112153.21024663112
227.4,793986.674259666,-64554.9174381231,-74999.0643229171
227.6,588769.1369317971,-190270.4697890007,-39111.891148107614
227.8,352611.5981833813,-237318.1293515913,17418.644153142675
228.0,244216.19520626706,-233211.52621339064,101536.2671160041
228.2,27854.321015848258,-139148.17405161526,216115.2040836686
228.4,-115425.89964840298,-62827.39400148834,289852.42537180457
228.6,-238804.59598378427,135302.30175348002,327801.7405734652
228.8,-327656.4627306815,326803.3590815483,375146.3827218028
229.0,-272465.4997096975,509396.06673797005,426310.36869694316
229.2,-282974.58373304206,590917.8171153362,458238.2893197768
229.4,-214350.78419428432,534902.5424263154,432054.6769396261
229.6,-121888.29664026418,457505.3200137185,352881.47310942877
229.8,-157740.0776506789,382928.9559292587,221145.58435934893
230.0,-169452.95813716474,307386.34194695204,99225.010914271
230.2,-150896.38730698766,323579.35697618325,-19.46024427987959
230.4,-106656.68215054834,271373.6987395217,-68944.28853961
230.6,116759.45189626918,124504.63795067351,-164156.8823823473
230.8,269452.58027253987,-63335.17941922579,-315658.6728917499
231.0,271249.476588503,-316990.26639945933,-406047.66808602115
231.2,239841.33627752293,-652514.0510090025,-427073.3495081035
231.4,152042.6472060638,-902183.8970613326,-458294.261526461
231.6,67648.388593025,-1077867.1852032994,-487294.0187922492
231.8,-10931.33310608804,-1149410.4217252189,-488387.7439920367
232.0,-82940.05227532504,-1150046.2953120533,-474501.6860619472
232.2,-43770.25239117775,-1240713.0904941985,-449667.77464063925
232.4,52029.45335173328,-1256893.8149416558,-440014.72898079985
232.6,125302.82276460744,-1102175.0946387122,-382590.98866576306
232.8,192208.3463408506,-849005.0334955436,-331634.66152405815
233.0,235247.7955427193,-533323.1013303077,-267280.4181132102
233.2,207563.62551776785,-200798.55927845917,-174779.0493241866
233.4,90452.98356104142,91960.24840152578,-88387.48281070455
233.6,104219.96830698517,283379.99607248104,-14476.93061685594
233.8,90090.02531795757,480871.1012550723,43577.55986176064
234.0,101660.83737053681,591745.037512155,131482.49383221637
234.2,123071.08254669816,602160.4044428768,223505.73147945676
234.4,172403.8112333036,683363.8974936892,332965.43080075376
234.6,186534.57753775135,738353.6565874305,389218.3499033642
